career_name,skill
Doctor,Ethics
Doctor,Record Keeping
Doctor,Empathy
Pharmacist,Pharmacology
Pharmacist,Drug Dispensing
Pharmacist,Patient Counseling
Pharmacist,Attention to Detail
Pharmacist,Regulatory Knowledge
Pharmacist,Communication
Pharmacist,Inventory Management
Pharmacist,Safety
Nurse,Patient Care
Nurse,Communication
Nurse,Clinical Skills
Nurse,Empathy
Nurse,Observation
Nurse,Medication Administration
Nurse,Teamwork
Nurse,Record Keeping
Nurse,First Aid
Medical Laboratory Scientist,Laboratory Techniques
Medical Laboratory Scientist,Sample Analysis
Medical Laboratory Scientist,Microscopy
Medical Laboratory Scientist,Quality Control
Medical Laboratory Scientist,Attention to Detail
Medical Laboratory Scientist,Data Recording
Medical Laboratory Scientist,Safety
Medical Laboratory Scientist,Instrumentation
Medical Laboratory Scientist,Biology
Biochemist,Biochemistry
Biochemist,Research
Biochemist,Laboratory Skills
Biochemist,Data Analysis
Biochemist,Critical Thinking
Biochemist,Experiment Design
Biochemist,Microscopy
Biochemist,Documentation
Biochemist,Statistics
Civil Engineer,AutoCAD
Civil Engineer,Structural Design
Civil Engineer,Project Management
Civil Engineer,Surveying
Civil Engineer,Construction Methods
Civil Engineer,Problem Solving
Civil Engineer,Mathematics
Civil Engineer,Blueprint Reading
Civil Engineer,Materials Science
Mechanical Engineer,CAD
Mechanical Engineer,Thermodynamics
Mechanical Engineer,Mechanics
Mechanical Engineer,Problem Solving
Mechanical Engineer,Materials Science
Mechanical Engineer,Maintenance
Mechanical Engineer,Design
Mechanical Engineer,Mathematics
Mechanical Engineer,Technical Drawing
Electrical Engineer,Circuit Design
Electrical Engineer,Power Systems
Electrical Engineer,Troubleshooting
Electrical Engineer,Electronics
Electrical Engineer,Mathematics
Electrical Engineer,Control Systems
Electrical Engineer,Communication
Electrical Engineer,Problem Solving
Electrical Engineer,Technical Drawing
Petroleum Engineer,Reservoir Engineering
Petroleum Engineer,Drilling Operations
Petroleum Engineer,Data Analysis
Petroleum Engineer,Geology Basics
Petroleum Engineer,Problem Solving
Petroleum Engineer,Project Management
Petroleum Engineer,Safety
Petroleum Engineer,Mathematics
Petroleum Engineer,Reporting
Architect,Architectural Design
Architect,AutoCAD
Architect,Creativity
Architect,Space Planning
Architect,Technical Drawing
Architect,Project Management
Architect,3D Modeling
Architect,Building Codes
Architect,Presentation
